applied current, measured voltage
0.0, -0.0009087
1e-06, -0.0009087
2e-06, -0.0009083
3e-06, -0.0009088
4e-06, -0.0009094
4.9999999999999996e-06, -0.0009105
6e-06, -0.0009114
7e-06, -0.0009106
8e-06, -0.0009115
9e-06, -0.0009119
9.999999999999999e-06, -0.0009118
1.1e-05, -0.0009134
1.2e-05, -0.0009128
1.3e-05, -0.0009128
1.4e-05, -0.0009133
1.4999999999999999e-05, -0.0009137
1.6e-05, -0.0009142
1.7e-05, -0.0009155
1.8e-05, -0.000917
1.8999999999999998e-05, -0.0009166
1.9999999999999998e-05, -0.0009165
2.1e-05, -0.0009164
2.2e-05, -0.0009169
2.3e-05, -0.0009167
2.4e-05, -0.0009168
2.4999999999999998e-05, -0.0009161
2.6e-05, -0.0009156
2.7e-05, -0.0009156
2.8e-05, -0.0009164
2.9e-05, -0.0009158
2.9999999999999997e-05, -0.0009155
3.1e-05, -0.0009152
3.2e-05, -0.0009156
3.2999999999999996e-05, -0.0009157
3.4e-05, -0.0009154
3.5e-05, -0.0009151
3.6e-05, -0.0009144
3.7e-05, -0.0009139
3.7999999999999995e-05, -0.0009138
3.9e-05, -0.0009152
3.9999999999999996e-05, -0.0009151
4.1e-05, -0.000914
4.2e-05, -0.0009135
4.2999999999999995e-05, -0.0009129
4.4e-05, -0.0009121
4.4999999999999996e-05, -0.0009119
4.6e-05, -0.0009121
4.7e-05, -0.0009122
4.8e-05, -0.0009129
4.9e-05, -0.0009137
4.9999999999999996e-05, -0.0009131
5.1e-05, -0.0009133
5.2e-05, -0.000914
5.3e-05, -0.0009146
5.4e-05, -0.0009148
5.4999999999999995e-05, -0.0009157
5.6e-05, -0.0009149
5.6999999999999996e-05, -0.0009143
5.8e-05, -0.0009143
5.9e-05, -0.0009133
5.9999999999999995e-05, -0.0009134
6.1e-05, -0.0009137
6.2e-05, -0.0009138
6.3e-05, -0.0009143
6.4e-05, -0.0009148
6.5e-05, -0.0009153
6.599999999999999e-05, -0.0009155
6.7e-05, -0.000916
6.8e-05, -0.0009161
6.9e-05, -0.000916
7e-05, -0.0009164
7.099999999999999e-05, -0.0009173
7.2e-05, -0.0009177
7.3e-05, -0.0009172
7.4e-05, -0.0009166
7.5e-05, -0.0009166
7.599999999999999e-05, -0.0009159
7.7e-05, -0.0009154
7.8e-05, -0.0009148
7.9e-05, -0.0009152
7.999999999999999e-05, -0.000916
8.099999999999999e-05, -0.0009154
8.2e-05, -0.0009153
8.3e-05, -0.0009159
8.4e-05, -0.0009156
8.499999999999999e-05, -0.0009152
8.599999999999999e-05, -0.0009159
8.7e-05, -0.0009153
8.8e-05, -0.0009155
8.9e-05, -0.0009154
8.999999999999999e-05, -0.0009156
9.099999999999999e-05, -0.0009156
9.2e-05, -0.0009161
9.3e-05, -0.0009169
9.4e-05, -0.0009164
9.499999999999999e-05, -0.0009159
9.6e-05, -0.0009161
9.7e-05, -0.0009154
9.8e-05, -0.0009149
9.9e-05, -0.0009135
9.999999999999999e-05, -0.0009146
0.000101, -0.0009139
0.000102, -0.0009134
0.000103, -0.0009136
0.000104, -0.0009121
0.00010499999999999999, -0.0009114
0.000106, -0.0009112
0.000107, -0.0009102
0.000108, -0.00091
0.00010899999999999999, -0.0009105
0.00010999999999999999, -0.0009115
0.000111, -0.000911
0.000112, -0.0009118
0.000113, -0.0009119
0.00011399999999999999, -0.0009118
0.00011499999999999999, -0.0009118
0.000116, -0.0009123
0.000117, -0.0009117
0.000118, -0.0009124
0.00011899999999999999, -0.0009124
0.00011999999999999999, -0.0009119
0.000121, -0.0009134
0.000122, -0.000914
0.00012299999999999998, -0.000915
0.000124, -0.0009163
0.000125, -0.0009168
0.000126, -0.0009173
0.000127, -0.0009172
0.000128, -0.0009176
0.000129, -0.0009177
0.00013, -0.0009189
0.00013099999999999999, -0.0009198
0.00013199999999999998, -0.0009206
0.000133, -0.0009222
0.000134, -0.0009221
0.000135, -0.0009204
0.000136, -0.0009195
0.000137, -0.0009194
