applied current, measured voltage
0.0, -3.18e-05
5e-05, -2.66e-05
0.0001, -1.59e-05
0.00015000000000000001, 1e-07
0.0002, 8.1e-06
0.00025, 8.9e-06
0.00030000000000000003, 7e-07
0.00035, -7.2e-06
0.0004, -1.79e-05
0.00045000000000000004, -2.83e-05
0.0005, -2.79e-05
0.00055, -2.19e-05
0.0006000000000000001, -8.9e-06
0.0006500000000000001, -1.3e-06
0.0007, -3.5e-06
0.00075, -7e-06
0.0008, -7.1e-06
0.0008500000000000001, -9.3e-06
0.0009000000000000001, -1.72e-05
0.00095, -6.7e-06
0.001, 4.2e-06
0.0010500000000000002, 1.54e-05
0.0011, 1.93e-05
0.00115, 2.67e-05
0.0012000000000000001, 1.7e-05
0.00125, 6.2e-06
0.0013000000000000002, -7e-06
0.00135, -8.5e-06
0.0014, -1.01e-05
0.0014500000000000001, -7.2e-06
0.0015, 6.2e-06
0.0015500000000000002, 2.17e-05
0.0016, 2.4e-05
0.00165, 2.24e-05
0.0017000000000000001, 7e-06
0.00175, -2.1e-06
0.0018000000000000002, -9.8e-06
0.00185, -9.4e-06
0.0019, -3.6e-06
0.0019500000000000001, 1.45e-05
